axis_id,clip_id,a_ind,status,s_commit
class,1186,0.26373626373626374,CROSSING,0.05
class,1196,0.25757575757575757,CROSSING,0.05
class,1207,0.32142857142857145,CROSSING,0.60
class,1209,0.24444444444444444,CROSSING,0.60
class,121,0.10000000000000001,CROSSING,0.90
class,1263,0.15151515151515152,CROSSING,0.60
class,1270,0.15555555555555556,CROSSING,0.15
class,1278,0.20512820512820512,CROSSING,0.05
class,1282,0.19444444444444445,CROSSING,0.35
class,1308,0.33333333333333331,CROSSING,0.25
class,1330,0,CROSSING,0.35
class,1364,0.24242424242424243,CROSSING,0.75
class,1386,0.8571428571428571,CROSSING,0.05
class,1410,0.19047619047619047,CROSSING,0.60
class,1412,0.72527472527472525,CROSSING,0.35
class,1421,0.27272727272727271,CROSSING,0.35
class,1422,0.40909090909090912,CROSSING,0.15
class,1436,0.21428571428571427,CROSSING,0.60
class,1447,0,CROSSING,0.15
class,1459,0.47435897435897434,CROSSING,0.35
class,1479,0,CROSSING,0.45
class,1502,0.62222222222222223,CROSSING,0.15
class,1514,0.16666666666666666,CROSSING,0.75
class,1517,0,CENSORED,
class,1560,0.2857142857142857,CROSSING,0.90
class,1574,0.16666666666666666,CROSSING,0.15
class,1601,0.55238095238095242,CROSSING,0.45
class,1628,0.19444444444444445,CROSSING,0.45
class,1629,0.2857142857142857,CROSSING,0.75
class,1630,0.095238095238095233,CROSSING,0.25
class,1739,0.65833333333333333,CROSSING,0.45
class,1762,0.19780219780219779,CROSSING,0.05
class,1810,0.5636363636363636,CROSSING,0.05
class,1812,0.58333333333333337,CROSSING,0.75
class,1813,0.40909090909090912,CROSSING,0.15
class,1859,0.28205128205128205,CROSSING,0.05
class,1868,0.16666666666666666,CROSSING,0.35
class,1876,0.1388888888888889,CROSSING,0.05
class,1893,0.40909090909090912,CROSSING,0.15
class,1900,0.38461538461538464,CROSSING,0.60
class,1905,0.11538461538461539,CROSSING,0.05
class,1929,0.24358974358974358,CROSSING,0.05
class,194,0.1111111111111111,CROSSING,0.90
class,195,0.2857142857142857,CROSSING,0.45
class,1956,0.73626373626373631,CROSSING,0.35
class,1964,0,CROSSING,0.05
class,1972,0.22222222222222221,CROSSING,0.35
class,2,0.75,CROSSING,0.05
class,2029,0.29090909090909089,CENSORED,
class,2032,0.25757575757575757,CROSSING,0.05
class,2041,0.5357142857142857,CROSSING,0.25
class,2061,0.5357142857142857,CROSSING,0.35
class,2082,0.75238095238095237,CROSSING,0.05
class,2106,0.61111111111111116,CROSSING,0.75
class,214,1,VIDEO_DETERMINED,
class,2174,0.19444444444444445,CROSSING,0.35
class,2177,0.15555555555555556,CROSSING,0.45
class,221,0.40000000000000002,CROSSING,0.05
class,2249,0.41666666666666669,CROSSING,0.35
class,2250,0.52727272727272723,CROSSING,0.45
class,2307,0.37179487179487181,CROSSING,0.45
class,2311,0.40000000000000002,CROSSING,0.15
class,2372,0.14545454545454545,CROSSING,0.75
class,2418,0.28205128205128205,CROSSING,0.05
class,2436,0.26666666666666666,CROSSING,0.35
class,245,0.44444444444444442,CROSSING,0.35
class,2457,0.69696969696969702,CENSORED,
class,2469,0.51515151515151514,CENSORED,
class,249,0.46969696969696972,CROSSING,0.75
class,2491,0.15151515151515152,CROSSING,0.15
class,2511,0.23076923076923078,CENSORED,
class,2555,0.65454545454545454,CROSSING,0.15
class,2583,0.32051282051282054,CROSSING,0.25
class,2603,0.23076923076923078,CENSORED,
class,2612,0.58974358974358976,CROSSING,0.05
class,2622,0.75238095238095237,CROSSING,0.15
class,2646,0.8571428571428571,CROSSING,0.05
class,2661,0.40000000000000002,CROSSING,0.05
class,2668,0.35555555555555557,CROSSING,0.90
class,2689,0.18181818181818182,CROSSING,0.75
class,2723,0.61538461538461542,CROSSING,0.05
class,2757,0.47435897435897434,CROSSING,0.90
class,2794,0.2857142857142857,CROSSING,0.45
class,2796,0.22727272727272727,CROSSING,0.15
class,2802,0.64444444444444449,CROSSING,0.60
class,2803,0.10909090909090909,CROSSING,0.75
class,2812,0.21212121212121213,CROSSING,0.25
class,2817,1,VIDEO_DETERMINED,
class,282,0.29090909090909089,CROSSING,0.45
class,2826,0.19780219780219779,CROSSING,0.60
class,2875,0.25,CROSSING,0.15
class,2881,1,VIDEO_DETERMINED,
class,292,0.84615384615384615,CROSSING,0.05
class,2945,0.51648351648351654,CROSSING,0.90
class,2992,0.047619047619047616,CROSSING,0.25
class,3,0.56060606060606055,CROSSING,0.05
class,3048,0.32051282051282054,CROSSING,0.90
class,3056,0,CROSSING,0.05
class,3112,1,VIDEO_DETERMINED,
class,3113,0.17857142857142858,CROSSING,0.15
class,3114,0.36363636363636365,CROSSING,0.90
class,3220,0.20000000000000001,CROSSING,0.05
class,325,0.40000000000000002,CROSSING,0.75
class,3273,0.54545454545454541,CROSSING,0.05
class,332,0.21794871794871795,CROSSING,0.45
class,338,0.20000000000000001,CROSSING,0.05
class,3392,0.19230769230769232,CROSSING,0.45
class,3395,0.34615384615384615,CROSSING,0.25
class,34,1,VIDEO_DETERMINED,
class,3411,1,VIDEO_DETERMINED,
class,3459,0.37362637362637363,CROSSING,0.60
class,3460,0.46153846153846156,CROSSING,0.25
class,3464,1,VIDEO_DETERMINED,
class,3475,0.25,CROSSING,0.45
class,3491,0.35555555555555557,CENSORED,
class,3496,0.46969696969696972,CROSSING,0.05
class,3540,0.035714285714285712,CROSSING,0.25
class,3570,0.19444444444444445,CROSSING,0.75
class,3585,0.23636363636363636,CROSSING,0.25
class,3611,1,VIDEO_DETERMINED,
class,3630,0.27272727272727271,CROSSING,0.75
class,3637,0.26923076923076922,CROSSING,0.05
class,3657,0.22222222222222221,CROSSING,0.35
class,3768,0.21818181818181817,CROSSING,0.45
class,3780,0.34848484848484851,CROSSING,0.15
class,3873,0.26923076923076922,CENSORED,
class,388,0.21428571428571427,CROSSING,0.05
class,3912,1,VIDEO_DETERMINED,
class,3957,0.38181818181818183,CROSSING,0.05
class,3979,0.14285714285714285,CROSSING,0.60
class,3985,0.083333333333333329,CROSSING,0.25
class,3994,0.35164835164835168,CENSORED,
class,4000,0.45714285714285713,CROSSING,0.75
class,4063,0.25,CROSSING,0.60
class,4077,0.56060606060606055,CENSORED,
class,4122,1,VIDEO_DETERMINED,
class,4170,0.65833333333333333,CROSSING,0.05
class,4268,0.21818181818181817,CROSSING,0.15
class,4283,0.75238095238095237,CROSSING,0.60
class,43,0.33333333333333331,CROSSING,0.60
class,4315,0.77777777777777779,CROSSING,0.25
class,4334,0.15555555555555556,CROSSING,0.35
class,437,0.21794871794871795,CROSSING,0.05
class,4398,0.14545454545454545,CROSSING,0.60
class,4411,0.48888888888888887,CROSSING,0.75
class,4476,0.29487179487179488,CROSSING,0.05
class,4510,0.1388888888888889,CROSSING,0.25
class,452,0.088888888888888892,CENSORED,
class,4563,0.37179487179487181,CROSSING,0.05
class,457,0.46666666666666667,CROSSING,0.75
class,4590,0.67272727272727273,CROSSING,0.45
class,4635,0.44444444444444442,CROSSING,0.75
class,4671,0.33333333333333331,CROSSING,0.15
class,4694,0.34848484848484851,CROSSING,0.05
class,4720,0.29487179487179488,CENSORED,
class,477,0.27272727272727271,CROSSING,0.45
class,481,0.26666666666666666,CROSSING,0.35
class,4855,0.49090909090909091,CENSORED,
class,4863,0.47619047619047616,CENSORED,
class,4870,0.18181818181818182,CROSSING,0.05
class,4876,0.23636363636363636,CROSSING,0.15
class,4881,0.58974358974358976,CROSSING,0.45
class,4883,0.5,CROSSING,0.05
class,4935,0.10714285714285714,CROSSING,0.15
class,4939,0.57692307692307687,CROSSING,0.05
class,4996,0.72527472527472525,CROSSING,0.75
class,502,0.33333333333333331,CROSSING,0.25
class,505,0.46969696969696972,CROSSING,0.45
class,527,0.33333333333333331,CROSSING,0.60
class,547,0.22222222222222221,CROSSING,0.25
class,595,0.83333333333333337,CROSSING,0.15
class,596,0.40000000000000002,CROSSING,0.15
class,63,0.5,CROSSING,0.15
class,643,0.40000000000000002,CROSSING,0.05
class,658,0.10714285714285714,CROSSING,0.25
class,662,0.63809523809523805,CROSSING,0.25
class,67,0.2857142857142857,CROSSING,0.15
class,691,0.1111111111111111,CROSSING,0.35
class,706,0.1388888888888889,CROSSING,0.35
class,728,0.12727272727272726,CENSORED,
class,819,0.5357142857142857,CROSSING,0.45
class,844,0.30909090909090908,CROSSING,0.75
class,847,0.10714285714285714,CROSSING,0.15
class,849,0.1111111111111111,CROSSING,0.60
class,859,0.14545454545454545,CROSSING,0.15
class,905,0.25,CROSSING,0.25
class,913,0.44444444444444442,CENSORED,
class,92,0.07575757575757576,CROSSING,0.25
class,920,0.40000000000000002,CROSSING,0.15
class,935,0.23636363636363636,CROSSING,0.75
class,955,0.8571428571428571,CROSSING,0.05
class,96,0.18181818181818182,CROSSING,0.35
material,1002,0.80926668661991219,CROSSING,0.60
material,1003,0.64919383859158741,CROSSING,0.75
material,1048,0.66207582400204035,CROSSING,0.45
material,1094,0.64402479922596356,CROSSING,0.75
material,1131,0.83134932166708686,CROSSING,0.75
material,115,0.78406070717336773,CROSSING,0.75
material,1152,0.81496146005399794,CROSSING,0.75
material,116,0.64912019468874504,CROSSING,0.75
material,1186,0.76888659783403834,CROSSING,0.75
material,1196,0.65619856204225091,CROSSING,0.60
material,1207,0.52632530101537478,CROSSING,0.75
material,1209,0.46026174810838399,CROSSING,0.60
material,121,0.59401982845669676,CROSSING,0.60
material,1263,0.54541427344192639,CROSSING,0.60
material,1270,0.65519213999395665,CROSSING,0.60
material,1278,0.44887384493671451,CROSSING,0.90
material,1282,0.43365793769497274,CROSSING,0.45
material,1308,0.76256125166430944,CROSSING,0.45
material,1330,0.89151262481662819,CROSSING,0.60
