clip,cfg,axis_id,s,a_fork_conf,n_conf,abstain_fork,a_independent_conf,abstain_ind,commit_gain,a_fork_emb,a_ind_emb
4541,1.0,class,0.05,0.200000,5,0.3750,0.466667,0.2500,0.000000,0.758670,0.597601
4541,1.0,class,0.3,0.714286,7,0.1250,0.466667,0.2500,0.464286,0.862611,0.597601
4541,1.0,class,0.6,1.000000,6,0.2500,0.466667,0.2500,1.000000,0.914347,0.597601
4541,1.0,class,0.9,1.000000,8,0.0000,0.466667,0.2500,1.000000,0.970210,0.597601
4541,1.0,presence,0.05,0.571429,8,0.0000,0.750000,0.0000,0.000000,0.758670,0.597601
4541,1.0,presence,0.3,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.862611,0.597601
4541,1.0,presence,0.6,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.914347,0.597601
4541,1.0,presence,0.9,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.970210,0.597601
4541,4.5,class,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.898643,0.806988
4541,4.5,class,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.960155,0.806988
4541,4.5,class,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.970305,0.806988
4541,4.5,class,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.988888,0.806988
4541,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.898643,0.806988
4541,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.960155,0.806988
4541,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.970305,0.806988
4541,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.988888,0.806988
655,1.0,class,0.05,1.000000,8,0.0000,0.285714,0.1250,1.000000,0.903929,0.723169
655,1.0,class,0.3,1.000000,8,0.0000,0.285714,0.1250,1.000000,0.942818,0.723169
655,1.0,class,0.6,1.000000,8,0.0000,0.285714,0.1250,1.000000,0.969655,0.723169
655,1.0,class,0.9,1.000000,8,0.0000,0.285714,0.1250,1.000000,0.990622,0.723169
655,1.0,presence,0.05,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.903929,0.723169
655,1.0,presence,0.3,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.942818,0.723169
655,1.0,presence,0.6,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.969655,0.723169
655,1.0,presence,0.9,1.000000,8,0.0000,0.571429,0.0000,1.000000,0.990622,0.723169
