clip,axis_id,a_independent
1868,timing,0.75
1136,class,0.6
1136,material,0.6005434465865955
1136,presence,0.75
1136,timing,0.75
2612,class,0.47619047619047616
2612,material,0.6801612908075986
2612,presence,1.0
2612,timing,1.0
3634,class,0.19047619047619047
3634,material,0.8153507493741349
3634,presence,0.5714285714285714
3634,timing,0.75
4315,class,0.0
4315,material,0.5517552297219223
4315,presence,0.75
4315,timing,0.75
4935,class,0.0
4935,material,0.6832206742642866
4935,presence,0.75
4935,timing,1.0
1703,class,1.0
1703,material,0.5697103372575288
1703,presence,0.42857142857142855
1703,timing,1.0
3780,class,0.10714285714285714
3780,material,0.5537172226947609
3780,presence,1.0
3780,timing,0.5357142857142857
2826,class,0.13333333333333333
2826,material,0.5864086176065545
2826,presence,0.4642857142857143
2826,timing,1.0
1859,class,0.4666666666666667
1859,material,0.4782311886406823
1859,presence,1.0
1859,timing,0.75
4026,class,0.3333333333333333
4026,material,0.5357085745432449
4026,presence,1.0
4026,timing,1.0
3570,class,0.13333333333333333
3570,material,0.39523054341389424
3570,presence,1.0
3570,timing,1.0
1152,class,0.6
1152,material,0.8023399102489838
1152,presence,1.0
1152,timing,1.0
1809,class,1.0
1809,material,0.8528299807209754
1809,presence,1.0
1809,timing,1.0
207,class,0.09523809523809523
207,material,0.7354683311495398
207,presence,1.0
207,timing,1.0
1422,class,0.42857142857142855
1422,material,0.6481006791665822
1422,presence,0.5714285714285714
1422,timing,1.0
3609,class,0.19047619047619047
3609,material,0.6121038553336663
3609,presence,0.5714285714285714
3609,timing,1.0
2796,class,0.3
2796,material,0.5674618574147948
2796,presence,0.5714285714285714
2796,timing,1.0
16,class,0.21428571428571427
16,material,0.7841439511559665
16,presence,1.0
16,timing,1.0
332,class,0.2
332,material,0.6356433389794028
332,presence,0.42857142857142855
332,timing,1.0
2794,class,0.19047619047619047
2794,material,0.6923540751817453
2794,presence,0.75
2794,timing,1.0
130,class,0.3
130,material,0.5263018307882054
130,presence,0.75
130,timing,1.0
1653,class,0.5714285714285714
1653,material,0.8067725254105212
1653,presence,1.0
1653,timing,1.0
706,class,0.2
706,material,0.769446919868359
706,presence,1.0
706,timing,0.75
4597,class,0.13333333333333333
4597,material,0.6705389729404834
4597,presence,1.0
4597,timing,0.75
710,class,0.47619047619047616
710,material,0.5168368688189547
710,presence,1.0
710,timing,1.0
2800,class,0.26666666666666666
2800,material,0.790689667409535
2800,presence,0.4642857142857143
2800,timing,1.0
1697,class,0.4666666666666667
1697,material,0.8580253513273549
1697,presence,0.75
1697,timing,1.0
4317,class,1.0
4317,material,0.8342563756046927
4317,presence,1.0
4317,timing,0.75
1699,class,0.6
1699,material,0.6319069416465393
1699,presence,1.0
1699,timing,0.5714285714285714
2041,class,0.2857142857142857
2041,material,0.5725124687391707
2041,presence,1.0
2041,timing,1.0
2746,class,0.13333333333333333
2746,material,0.6098039594735735
2746,presence,0.75
2746,timing,1.0
245,class,0.5
245,material,0.667601758498625
245,presence,1.0
245,timing,1.0
4996,class,0.3
4996,material,0.6530485414122769
4996,presence,1.0
4996,timing,1.0
3464,class,1.0
3464,material,0.7606222780104387
3464,presence,1.0
3464,timing,1.0
1376,class,0.1
1376,material,0.8168738156932382
1376,presence,1.0
1376,timing,0.75
484,class,0.0
484,material,0.5446101249427067
484,presence,1.0
484,timing,1.0
167,class,0.0
167,material,0.583901042273564
167,presence,1.0
167,timing,0.21428571428571427
1727,class,0.3333333333333333
1727,material,0.6892175272020367
1727,presence,0.5714285714285714
1727,timing,0.4642857142857143
2827,class,0.0
2827,material,0.6918345423941302
2827,presence,1.0
2827,timing,1.0
3112,class,0.75
3112,material,0.8389774695386262
3112,presence,0.75
3112,timing,1.0
1421,class,0.5
1421,material,0.5743207242966613
1421,presence,1.0
1421,timing,1.0
2048,class,0.2
2048,material,0.6802858993766332
2048,presence,0.75
2048,timing,0.75
3477,class,0.0
3477,material,0.6323983474658348
3477,presence,1.0
3477,timing,1.0
2028,class,0.14285714285714285
2028,material,0.684850512113866
2028,presence,0.4642857142857143
2028,timing,1.0
943,class,0.0
943,material,0.6566003428836549
943,presence,1.0
943,timing,1.0
445,class,1.0
445,material,0.7936227974797444
445,presence,0.75
445,timing,1.0
3827,class,0.42857142857142855
3827,material,0.6018388014368087
3827,presence,1.0
3827,timing,1.0
2641,class,0.3333333333333333
2641,material,0.76257121985492
2641,presence,1.0
2641,timing,1.0
3392,class,0.2
3392,material,0.5379294199616272
3392,presence,0.5714285714285714
3392,timing,0.75
2061,class,0.3333333333333333
2061,material,0.5326184331721722
2061,presence,1.0
2061,timing,1.0
1412,class,1.0
1412,material,0.7551906646528627
1412,presence,1.0
1412,timing,1.0
4454,class,0.16666666666666666
4454,material,0.6442716699039986
4454,presence,0.75
4454,timing,1.0
1630,class,1.0
1630,material,0.6314148492882161
1630,presence,1.0
1630,timing,1.0
2603,class,0.2
2603,material,0.7629152144731245
2603,presence,0.5714285714285714
2603,timing,1.0
3513,class,0.2
3513,material,0.5347926370913749
3513,presence,1.0
3513,timing,1.0
1542,class,0.5
1542,material,0.8233033545957148
1542,presence,0.75
1542,timing,1.0
3261,class,0.3333333333333333
3261,material,0.6626706255364764
3261,presence,0.5714285714285714
3261,timing,1.0
81,class,1.0
81,material,0.733700510833146
81,presence,1.0
81,timing,1.0
4143,class,0.16666666666666666
4143,material,0.4743081737193521
4143,presence,0.4642857142857143
4143,timing,1.0
1066,class,0.4
1066,material,0.8082383756261696
1066,presence,1.0
1066,timing,0.5357142857142857
1802,class,nan
1802,material,0.7088951937180302
1802,presence,1.0
1802,timing,1.0
4720,class,0.4
4720,material,0.6978224313632154
4720,presence,0.5714285714285714
4720,timing,1.0
2068,class,0.0
2068,material,0.6720672648288797
2068,presence,0.4642857142857143
2068,timing,1.0
658,class,0.2
658,material,0.7118151335992754
658,presence,0.5714285714285714
658,timing,1.0
4934,class,0.42857142857142855
4934,material,0.6130942681751966
4934,presence,0.75
4934,timing,1.0
1560,class,0.3
1560,material,0.6515520731293797
1560,presence,1.0
1560,timing,1.0
752,class,0.6
752,material,0.7933180111309046
752,presence,0.75
752,timing,1.0
3496,class,1.0
3496,material,0.5998089963795424
3496,presence,0.5714285714285714
3496,timing,1.0
80,class,0.16666666666666666
80,material,0.7971900777367292
80,presence,0.5714285714285714
80,timing,1.0
728,class,0.0
728,material,0.7306015991958112
728,presence,1.0
728,timing,1.0
617,class,0.26666666666666666
617,material,0.725551853955512
617,presence,0.5714285714285714
617,timing,1.0
3752,class,0.47619047619047616
3752,material,0.7129360909723059
3752,presence,0.75
3752,timing,1.0
1350,class,0.2857142857142857
1350,material,0.700064315837872
1350,presence,1.0
1350,timing,1.0
457,class,0.3
457,material,0.6840822838376858
457,presence,0.42857142857142855
457,timing,1.0
4921,class,0.4
4921,material,0.4491586867241909
4921,presence,1.0
4921,timing,0.75
1186,class,1.0
1186,material,0.7923172565215992
1186,presence,1.0
1186,timing,0.75
3272,class,0.2
3272,material,0.683440972667114
3272,presence,0.4642857142857143
3272,timing,1.0
1886,class,0.47619047619047616
1886,material,0.5798826134217306
1886,presence,1.0
1886,timing,1.0
4876,class,0.3
4876,material,0.5798525790580852
4876,presence,0.75
4876,timing,1.0
2304,class,1.0
2304,material,0.8366607730737449
2304,presence,1.0
2304,timing,0.5714285714285714
3114,class,0.4666666666666667
3114,material,0.8378517119780858
3114,presence,0.42857142857142855
3114,timing,1.0
1401,class,0.047619047619047616
1401,material,0.6171491066756056
1401,presence,0.42857142857142855
1401,timing,1.0
2556,class,0.26666666666666666
2556,material,0.5653272522155484
2556,presence,0.75
2556,timing,1.0
303,class,0.4
303,material,0.6184183823713924
303,presence,0.75
303,timing,1.0
2575,class,0.2857142857142857
2575,material,0.784976498628326
2575,presence,0.4642857142857143
2575,timing,1.0
4669,class,0.4666666666666667
4669,material,0.7483258117573642
4669,presence,0.4642857142857143
4669,timing,1.0
1367,class,0.1
1367,material,0.542844762375003
1367,presence,0.4642857142857143
1367,timing,1.0
3452,class,0.2
3452,material,0.42959405113932175
3452,presence,0.4642857142857143
3452,timing,0.39285714285714285
212,class,0.09523809523809523
212,material,0.6720113722426103
212,presence,0.75
212,timing,1.0
4352,class,0.19047619047619047
4352,material,0.529967237010011
4352,presence,1.0
4352,timing,1.0
4119,class,0.2857142857142857
4119,material,0.44244371807364175
4119,presence,0.75
4119,timing,0.75
1792,class,0.3333333333333333
1792,material,0.6717087786470047
1792,presence,1.0
1792,timing,1.0
3268,class,0.23809523809523808
3268,material,0.6574205898066319
3268,presence,0.75
3268,timing,1.0
4220,class,0.3333333333333333
4220,material,0.4926442332988829
4220,presence,0.4642857142857143
4220,timing,1.0
923,class,0.16666666666666666
923,material,0.6619871540993528
923,presence,0.42857142857142855
923,timing,1.0
4863,class,0.1
4863,material,0.45112427903308233
4863,presence,0.42857142857142855
4863,timing,0.39285714285714285
1739,class,0.3
1739,material,0.6397414210419173
1739,presence,0.5714285714285714
1739,timing,1.0
159,class,0.47619047619047616
159,material,0.7307005023489885
159,presence,1.0
159,timing,1.0
455,class,1.0
455,material,0.8406942214757402
455,presence,1.0
455,timing,0.75
2447,class,0.2857142857142857
2447,material,0.6167791697759256
2447,presence,0.75
2447,timing,1.0
67,class,0.3
67,material,0.7457541569124329
67,presence,1.0
67,timing,0.5714285714285714
1922,class,0.4666666666666667
1922,material,0.6299626496713076
1922,presence,0.75
1922,timing,1.0
2868,class,1.0
2868,material,0.8192094306831831
2868,presence,1.0
2868,timing,0.17857142857142858
4510,class,1.0
4510,material,0.6890538490682453
4510,presence,0.5714285714285714
4510,timing,1.0
1514,class,0.16666666666666666
1514,material,0.6644939015265016
1514,presence,1.0
1514,timing,1.0
785,class,0.16666666666666666
785,material,0.5674469221325945
785,presence,1.0
785,timing,1.0
2689,class,0.26666666666666666
2689,material,0.6257051276152572
2689,presence,0.5714285714285714
2689,timing,1.0
250,class,0.3333333333333333
250,material,0.6001634151927405
250,presence,0.75
250,timing,1.0
2300,class,0.0
2300,material,0.5635875620007162
2300,presence,0.5714285714285714
2300,timing,0.5357142857142857
3542,class,0.17857142857142858
3542,material,0.769653451662572
3542,presence,1.0
3542,timing,1.0
366,class,1.0
366,material,0.7751862285452388
366,presence,1.0
366,timing,0.4642857142857143
1261,class,0.19047619047619047
1261,material,0.6552115244990668
1261,presence,0.75
1261,timing,1.0
1921,class,0.16666666666666666
1921,material,0.6034433440180882
1921,presence,0.5714285714285714
1921,timing,0.75
2873,class,0.2
2873,material,0.6064491652669082
2873,presence,0.75
2873,timing,1.0
937,class,0.2
937,material,0.558706153292594
937,presence,1.0
937,timing,1.0
3912,class,1.0
3912,material,0.9366574601509546
3912,presence,1.0
3912,timing,0.75
2891,class,0.16666666666666666
2891,material,0.8099109278380737
2891,presence,0.4642857142857143
2891,timing,1.0
2245,class,0.42857142857142855
2245,material,0.44737768765562064
2245,presence,0.4642857142857143
2245,timing,0.75
4671,class,0.1
4671,material,0.6838583108654328
4671,presence,0.5714285714285714
4671,timing,1.0
4334,class,0.4
4334,material,0.5387787352150758
4334,presence,1.0
4334,timing,0.75
4645,class,0.2857142857142857
4645,material,0.5856989407858052
4645,presence,1.0
4645,timing,0.75
4819,class,0.1
4819,material,0.6891259242239857
4819,presence,0.42857142857142855
4819,timing,0.75
258,class,0.4
258,material,0.5897840832559629
258,presence,1.0
258,timing,0.39285714285714285
2897,class,0.1
