video_id,base_seed,progress,a_independent,a_fork_confident,commitment_gain,n_forks,n_confident_forks,fork_abstention_rate,fork_majority_label,fork_majority_share
1003,12,0.35,0.09090909090909091,0.3,0.22999999999999998,12,5,0.5833333333333333,electronics_ui,0.6
1003,12,0.45,0.09090909090909091,0.3,0.22999999999999998,12,5,0.5833333333333333,electronics_ui,0.6
1003,12,0.6,0.09090909090909091,0.7142857142857143,0.6857142857142857,12,7,0.41666666666666663,electronics_ui,0.8571428571428571
1003,12,0.75,0.09090909090909091,0.6,0.5599999999999999,12,5,0.5833333333333333,electronics_ui,0.8
1003,12,0.9,0.09090909090909091,1.0,1.0,12,6,0.5,electronics_ui,1.0
1003,13,0.05,0.09090909090909091,0.25,0.17500000000000002,12,8,0.33333333333333337,,0.375
1003,13,0.15,0.09090909090909091,0.17857142857142858,0.09642857142857143,12,8,0.33333333333333337,vehicles,0.375
1003,13,0.25,0.09090909090909091,0.32142857142857145,0.2535714285714286,12,8,0.33333333333333337,machines_motors,0.5
1003,13,0.35,0.09090909090909091,0.696969696969697,0.6666666666666667,12,12,0.0,vehicles,0.8333333333333334
1003,13,0.45,0.09090909090909091,1.0,1.0,12,9,0.25,vehicles,1.0
1003,13,0.6,0.09090909090909091,0.8181818181818182,0.8,12,11,0.08333333333333337,vehicles,0.9090909090909091
1003,13,0.75,0.09090909090909091,1.0,1.0,12,12,0.0,vehicles,1.0
1003,13,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,vehicles,1.0
1003,14,0.05,0.09090909090909091,0.0,0.0,12,3,0.75,,0.3333333333333333
1003,14,0.15,0.09090909090909091,0.26666666666666666,0.19333333333333333,12,6,0.5,machines_motors,0.5
1003,14,0.25,0.09090909090909091,0.35555555555555557,0.29111111111111115,12,10,0.16666666666666663,vehicles,0.6
1003,14,0.35,0.09090909090909091,0.16666666666666666,0.08333333333333333,12,4,0.6666666666666667,vehicles,0.5
1003,14,0.45,0.09090909090909091,0.0,0.0,12,2,0.8333333333333334,,0.5
1003,14,0.6,0.09090909090909091,0.6,0.5599999999999999,12,5,0.5833333333333333,vehicles,0.8
1003,14,0.75,0.09090909090909091,0.4,0.34,12,5,0.5833333333333333,electronics_ui,0.6
1003,14,0.9,0.09090909090909091,1.0,1.0,12,5,0.5833333333333333,vehicles,1.0
1003,15,0.05,0.09090909090909091,0.4166666666666667,0.3583333333333334,12,9,0.25,machines_motors,0.6666666666666666
1003,15,0.15,0.09090909090909091,0.21428571428571427,0.1357142857142857,12,8,0.33333333333333337,machines_motors,0.5
1003,15,0.25,0.09090909090909091,0.3055555555555556,0.23611111111111113,12,9,0.25,machines_motors,0.5555555555555556
